,Sold Price,lat,lon,X,Y
R2040758,440500.0,49.2783621,-123.12694760000001,1392.604851472164,755.7251994469596
R2040393,445000.0,49.2783621,-123.12694760000001,1392.604851472164,755.7251994469596
R2040517,699000.0,49.27537419999999,-123.1247537,1551.7482926461876,423.4858781240111
R2039899,710000.0,49.2788861,-123.1079385,2771.507074732,813.9913410085568
R2040115,589000.0,49.2832675,-123.116417,2156.4846644180475,1301.1807926089996
R2040400,475000.0,49.2830217,-123.1080219,2765.4573172257706,1273.8490796395613
R2039815,688000.0,49.2881645,-123.12326409999999,1659.8024746845763,1845.702348387371
R2040071,765000.0,49.2788861,-123.1079385,2771.507074732,813.9913410085568
R2041909,650000.0,49.288139799999996,-123.1275746,1347.122861584377,1842.955833698758
R2039590,501000.0,49.2820696,-123.1276435,1342.12492043063,1167.980389981362
R2040483,600800.0,49.2779282,-123.11874209999999,1987.8240987262982,707.4777207753931
R2039581,374900.0,49.288139799999996,-123.1275746,1347.122861584377,1842.955833698758
R2040025,280000.0,49.289891499999996,-123.14328190000002,207.73010277799673,2037.7359867020093
R2040039,485000.0,49.282532700000004,-123.13935990000002,492.2282915206277,1219.4747605109687
R2039382,530000.0,49.27378289999999,-123.1257976,1476.0247691306447,246.54139135518326
R2040554,463800.0,49.2821013,-123.12586409999999,1471.2009217191003,1171.505269156102
R2040007,641000.0,49.2785529,-123.11504009999999,2256.3636945257917,776.9411914505861
R2039460,746000.0,49.279855100000006,-123.1056374,2938.4267030120327,921.7392249276771
R2039264,1380000.0,49.2867514,-123.1265628,1420.5178813114915,1688.5727975458772
R2039282,538000.0,49.28045170000001,-123.1198485,1907.566884032779,988.0781181639878
R2041246,536000.0,49.2875878,-123.126725,1408.7520459694401,1781.576234191073
R2041288,375000.0,49.2767332,-123.1282659,1296.97661021325,574.599783435633
R2039397,1650000.0,49.29008959999999,-123.1285915,1273.3578926575303,2059.7637016693557
R2038790,443500.0,49.28371869999999,-123.12966259999999,1195.6613067423862,1351.3519435095043
R2038944,538800.0,49.2761941,-123.1157455,2205.194642423993,514.6545984810435
R2038821,765000.0,49.274823,-123.12366920000001,1630.4169019497117,362.1952345586813
R2039299,500000.0,49.2820696,-123.1276435,1342.12492043063,1167.980389981362
R2038399,1290000.0,49.2737016,-123.1281723,1303.7662661199743,237.5012438199984
R2038272,540000.0,49.2779315,-123.1216717,1775.3136719694728,707.8446640336579
R2038678,562500.0,49.275772700000005,-123.12588429999998,1469.7356327310777,467.7970563937654
R2038499,950000.0,49.280496899999996,-123.109298,2672.8902242492964,993.1041288470096
R2038665,545000.0,49.278682,-123.1205503,1856.6589725437684,791.2964564806571
R2038681,375000.0,49.279728999999996,-123.1258703,1470.7511795532043,907.7175446766976
R2039113,464000.0,49.2821013,-123.12586409999999,1471.2009217191003,1171.505269156102
R2038184,950000.0,49.291769200000005,-123.1314838,1063.5531727953485,2246.5267004634456
R2038155,812000.0,49.27494229999999,-123.11725890000001,2095.414030785824,375.4607893067525
R2039243,817000.0,49.2761771,-123.1287753,1260.0252136439035,512.7642847281181
R2039278,1200000.0,49.2895195,-123.1281758,1303.5123794147003,1996.3714739903774
R2038227,548000.0,49.2791479,-123.1099791,2623.483871277633,843.1021728037665
R2038245,460000.0,49.2779315,-123.1216717,1775.3136719694728,707.8446640336579
R2037804,550000.0,49.2777641,-123.12778970000001,1331.5197100290354,689.2306333131074
R2038460,651000.0,49.2749955,-123.1223163,1728.55499464574,381.37635940542543
R2037947,780000.0,49.2772308,-123.12467009999999,1557.8125579653838,629.9303789334824
R2037982,832000.0,49.27582879999999,-123.11717140000002,2101.7611984331356,474.0350917771552
R2038350,560000.0,49.2805221,-123.10984779999998,2633.0082497039043,995.9062409988047
R2037969,460000.0,49.2781145,-123.1194851,1933.9275780124672,728.1933356095924
R2038484,520500.0,49.2792068,-123.1176206,2069.1766532070774,849.6515539830293
R2038394,385000.0,49.28059709999999,-123.11744679999998,2081.7839416331763,1004.2458604958433
R2037946,520000.0,49.275772700000005,-123.12588429999998,1469.7356327310777,467.7970563937654
R2037179,455000.0,49.275580299999994,-123.12802279999998,1314.6108554169684,446.4031525062186
R2037473,428000.0,49.27582879999999,-123.11717140000002,2101.7611984331356,474.0350917771552
R2037743,689900.0,49.2830217,-123.1080219,2765.4573172257706,1273.8490796395613
R2037252,1000000.0,49.2906894,-123.14424369999999,137.96203599470653,2126.458418671927
R2037285,355000.0,49.2783621,-123.12694760000001,1392.604851472164,755.7251994469596
R2037665,1314500.0,49.274502399999996,-123.11800790000001,2041.0822757200947,326.5461410762131
R2038486,875000.0,49.2794125,-123.119698,1918.4840123873919,872.5243503940592
R2037421,623000.0,49.2785678,-123.1179095,2048.220119110193,778.5979958571994
R2038200,470500.0,49.27926,-123.1067054,2860.9549881793214,855.5671240809121
R2037625,576000.0,49.2773752,-123.11823100000001,2024.8988116945247,645.9869263413443
R2037577,551000.0,49.2773752,-123.11823100000001,2024.8988116945247,645.9869263413443
R2037670,382500.0,49.277972,-123.13413899999999,870.9474637829252,712.3480585624537
R2037386,610000.0,49.2771532,-123.12972279999998,1191.2944554011594,621.3016526261597
R2037441,675000.0,49.279782,-123.106388,2883.9788854528765,913.6108757889916
R2037752,535000.0,49.2792068,-123.1176206,2069.1766532070774,849.6515539830293
R2037274,490000.0,49.27877669999999,-123.1117008,2498.593373685827,801.8266160321194
R2037316,401000.0,49.2845344,-123.13401950000001,879.6158813121815,1442.0536451747025
R2037731,610500.0,49.284993799999995,-123.129346,1218.627172768197,1493.136594474867
R2038476,790000.0,49.28045170000001,-123.1198485,1907.566884032779,988.0781181639878
R2037137,675000.0,49.2785678,-123.1179095,2048.220119110193,778.5979958571994
R2037271,526600.0,49.277333500000005,-123.1323385,1001.5540392105535,641.3500979005959
R2037781,444000.0,49.2810194,-123.1063855,2884.1602330995006,1051.203478019061
R2038418,468000.0,49.28032140000001,-123.1192304,1952.4032762971403,973.5894192227543
R2038691,680000.0,49.2900011,-123.12816380000001,1304.3828481195276,2049.922950662455
R2037963,416000.0,49.2761941,-123.1157455,2205.194642423993,514.6545984810435
R2038233,517500.0,49.2810194,-123.1063855,2884.1602330995006,1051.203478019061
R2037292,600000.0,49.2739532,-123.1287006,1265.4438813386432,265.47788736361093
R2037532,752000.0,49.2786404,-123.11000020000002,2621.953297135383,786.6707475319129
R2037241,545000.0,49.2777153,-123.1179345,2046.4066426387963,683.8043208926475
R2037007,548800.0,49.2790779,-123.1200461,1893.2331660079305,835.318527938547
R2038213,811000.0,49.2852685,-123.13607979999999,730.1636584001478,1523.6818408247525
R2037409,555000.0,49.2794125,-123.119698,1918.4840123873919,872.5243503940592
R2037038,820000.0,49.28168059999999,-123.1241123,1598.2748449820351,1124.7255635152244
R2037296,1450000.0,49.2741295,-123.1128257,2416.9941864041957,285.08155293101163
R2037987,592000.0,49.2761771,-123.1287753,1260.0252136439035,512.7642847281181
R2037402,365000.0,49.2906894,-123.14424369999999,137.96203599470653,2126.458418671927
R2036978,517000.0,49.2852963,-123.13287779999999,962.433724783045,1526.7730597852515
R2036638,460000.0,49.283663,-123.12484099999999,1545.415632810812,1345.158386096502
R2036384,406000.0,49.2781262,-123.11061240000001,2577.5448853184976,729.4943162515254
R2036845,635000.0,49.2830217,-123.1080219,2765.4573172257706,1273.8490796395613
R2036301,776000.0,49.2861854,-123.14079299999999,388.272566309348,1625.6364690651483
R2036310,600000.0,49.2889719,-123.12753149999999,1350.2492950210444,1935.4811321601153
R2036520,1495000.0,49.278043,-123.1188544,1979.677962418495,720.242898354037
R2036852,1095000.0,49.287906400000004,-123.11665049999999,2139.546794181077,1817.0029378208135
R2036741,1950000.0,49.274008200000004,-123.1121703,2464.536285563201,271.5936083294227
R2036710,1898000.0,49.29008959999999,-123.1285915,1273.3578926575303,2059.7637016693557
R2036313,515000.0,49.2761941,-123.1157455,2205.194642423993,514.6545984810435
R2036146,556000.0,49.2779939,-123.11554699999999,2219.593645603069,714.783227455984
R2035844,825000.0,49.277813099999996,-123.1320741,1020.7333663663968,694.6791847183661
R2036217,680000.0,49.2782434,-123.1209497,1827.686872446506,742.5263616540745
R2036143,547000.0,49.2744365,-123.1278966,1323.7652846404146,319.21839541082346
R2036158,560000.0,49.2761973,-123.1223648,1725.0368502919516,515.0104222465138
R2035723,985000.0,49.2741473,-123.1188092,1982.9567278779145,287.06082262550217
