,PicCount,List Price,Sold Price,Tot BR,Tot Baths,TotFlArea,Age,TotalPrkng,# Rms,Fireplaces,Gross Taxes,Taxes/TotFlArea,Strata Maint Fee,View_Score,Baths,GST Incl,Title to Land 0,Title to Land 1,Title to Land 2,Title to Land 3,Title to Land 4,Title to Land 5,Title to Land 6,District 21,District 16,District 11,District 10,District 15,District 18,District 26,District 20,District 13,District 22,District 17,District 14,District 27,District 8,District 7,District 9,District 6,District 3,District 31,District 12,District 25,District 4,District 32,District 5,District 23,District 19,District 2,DOM,Address_IsPH
R2134505,-1.2793455953126924,0.37848233326667663,0.3601013252753677,0.8694335713973095,0.9478831840426758,0.3547489729266714,0.4873339627960552,2.1666108729996862,-0.47793688914260624,1.5271178725774979,0.03543669528752814,0.007460413434421603,0.5480396368963243,-0.15720476109348847,1.0763591766107998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16,0
R2133078,-0.5974686405134979,-0.13594265884699774,-0.16904898760466136,0.8694335713973095,0.9478831840426758,0.16226306426805398,-0.36520448342593553,-0.1270117087732673,0.789363730636503,1.5271178725774979,-0.011982973196033581,-0.016666139785952525,0.29226972411279245,-0.7917560179078185,1.0763591766107998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11,0
R2133180,-1.2793455953126924,-0.08959806496288293,-0.10891827023193079,0.8694335713973095,0.9478831840426758,0.6641013261280209,0.4098304676849651,-0.1270117087732673,1.4230140405260576,1.5271178725774979,-0.039085373879443844,-0.04563040927461205,0.2473111107912764,-0.7917560179078185,1.0763591766107998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7,0
R2133009,0.7662852690848909,-0.6434159618780548,-0.5779378657392292,-0.6576829802210812,-0.8076088499514855,-0.77954298881161,-0.36520448342593553,-0.1270117087732673,0.15571342074694838,1.5271178725774979,-0.05181028590427668,-0.012433216836905415,-0.7950537364056998,-0.7917560179078185,-0.818122021519067,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0
R2133176,-0.9384071179130952,-0.8962257215159011,-0.9389626928451037,-2.184799531839472,-0.8076088499514855,-1.3329399762051353,0.4873339627960552,-0.1270117087732673,-1.7452375089217154,-0.6262828060694792,-0.07233691365236879,-0.0035169866960283766,-1.2099265167077338,-1.4263072747221484,-0.818122021519067,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13,0
R2132916,-0.7679378792132966,0.7909492188352983,0.7208856295117512,0.8694335713973095,0.9478831840426758,0.8909597184756772,0.6423409530182353,-0.1270117087732673,0.789363730636503,-0.6262828060694792,0.04563849618717927,-0.004063663270181252,0.3523551630961058,0.47734649572084153,1.0763591766107998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,72,0
R2132399,-0.5974686405134979,-0.7108473459794419,-0.7944084482810594,-0.6576829802210812,-0.8076088499514855,-0.7245470149091479,-0.830225454092476,-0.1270117087732673,-0.47793688914260624,-0.6262828060694792,-0.059810569825582784,-0.022652693360233334,-1.1368235703819976,-0.31584257529707094,-0.818122021519067,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,63,0
R2132286,0.4253467916852937,-0.8033048107782509,-0.8665653091283361,-0.6576829802210812,-0.8076088499514855,-0.7348587600158595,0.7198444481293254,-0.1270117087732673,-0.47793688914260624,-0.6262828060694792,-0.07279376439787502,-0.03468610774272423,-0.47877652097497986,-0.7917560179078185,-0.818122021519067,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,62,0
R2132666,0.7662852690848909,0.07260801363151889,0.023369307988076467,0.8694335713973095,0.9478831840426758,0.03164762624970641,0.4873339627960552,-0.1270117087732673,0.15571342074694838,-0.6262828060694792,-0.049454087177453164,-0.03861352656059833,0.1209328103419204,0.635984309924424,1.0763591766107998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,50,0
R2132470,0.7662852690848909,0.09786581729836145,0.023369307988076467,-0.6576829802210812,-0.8076088499514855,-0.3120772106406819,0.09981648724060486,-0.1270117087732673,0.15571342074694838,1.5271178725774979,-0.004924449315463971,0.006675178595235027,-0.15544815573378074,0.16007086731367653,-0.818122021519067,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23,0
R2132562,0.7662852690848909,1.6946687995755372,1.4075784219083343,0.8694335713973095,0.9478831840426758,1.1556278428812763,-0.36520448342593553,-0.1270117087732673,0.15571342074694838,-0.6262828060694792,0.09323946606895762,0.012726724227668785,0.6583268518807407,0.7946221241280065,1.0763591766107998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17,0
R2132204,0.7662852690848909,0.3293570637495149,0.19895100271644975,-0.6576829802210812,-0.8076088499514855,-0.28801647205835473,-0.2101974932037554,-0.1270117087732673,0.789363730636503,-0.6262828060694792,-0.009698719468502388,0.0017931093244271618,-0.5788184755510076,0.635984309924424,-0.818122021519067,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13,0
