,PicCount,List Price,Sold Price,Tot BR,Tot Baths,TotFlArea,Age,TotalPrkng,# Rms,Fireplaces,Gross Taxes,Sold Price Per SQFT,SP/LP Ratio,SP/OLP Ratio,Strata Maint Fee,View_Score,Baths,GST Incl 0,GST Incl 1
R2072851,-1.108876356612894,-0.7129328527042271,-0.6981993004846905,-0.6576829802210812,-0.8076088499514855,-0.5698708383084731,-0.2101974932037554,-0.1270117087732673,-0.4779368891426062,-0.6262828060694792,-0.051997342902436704,-0.6873043638707517,0.4394051947178505,0.4481168736010956,-0.5413328757038455,-1.4263072747221484,-0.818122021519067,1.0,0.0
R2073465,-0.5974686405134979,-0.5252372474735622,-0.4985653188072249,0.8694335713973095,0.9478831840426758,0.2172590381705161,-0.2877009883148455,-0.1270117087732673,0.15571342074694838,1.527117872577498,-0.04156891525501477,-1.262962246046313,0.4394051947178505,0.4481168736010956,0.16372183910636626,-0.15720476109348847,1.0763591766107998,1.0,0.0
R2072885,0.5958160303850923,-0.2286318466152273,-0.20512741802829973,-0.6576829802210812,-0.8076088499514855,-0.6661137926377818,-1.0627359394257458,-0.1270117087732673,-0.4779368891426062,-0.6262828060694792,-0.004941716115294128,0.8914176636846924,0.10936651801450524,0.14378452031901065,-0.8852722942372142,2.0637246377566663,-0.818122021519067,1.0,0.0
R2072930,0.08440831428569649,-0.7152500823984328,-0.6260424396374138,-0.6576829802210812,-0.8076088499514855,-1.0717091001684398,-0.5977149687592057,-0.1270117087732673,-1.1115871990321609,-0.6262828060694792,-0.053523296337426834,0.6579149699743834,1.2645018864762136,1.2089477568063078,-1.0569708054342644,-0.3158425752970709,-0.818122021519067,1.0,0.0
R2072898,0.7662852690848909,-1.1763787915453752,-1.1407613803479877,-0.6576829802210812,-0.8076088499514855,-0.8998466817232459,1.1848654187958658,-0.1270117087732673,0.15571342074694838,-0.6262828060694792,-0.08590214326893593,-1.456055930330304,1.5945405631795588,1.513280110088393,-1.0161102962761035,-1.4263072747221484,-0.818122021519067,1.0,0.0
R2073333,0.7662852690848909,-0.828794337414514,-0.5538855787901371,-0.6576829802210812,-0.8076088499514855,-0.8826604398787264,0.09981648724060486,-0.1270117087732673,-1.1115871990321609,-0.6262828060694792,-0.052251308749938594,0.38442952221145055,4.069830638454643,3.7957727597040263,-0.15141031780812206,-0.15720476109348847,-0.818122021519067,1.0,0.0
R2072786,0.7662852690848909,0.5128816555306095,0.5717614504273794,-0.6576829802210812,-0.8076088499514855,-0.11615405361316054,-0.3652044834259355,-0.1270117087732673,0.789363730636503,1.527117872577498,0.03728064561939033,1.5635797624648797,0.10936651801450524,0.14378452031901065,0.16040719603306405,-0.7917560179078185,-0.818122021519067,1.0,0.0
R2072993,0.7662852690848909,-0.20545954967317,-0.19791173194357206,0.8694335713973095,0.9478831840426758,-0.11615405361316054,-0.3652044834259355,-0.1270117087732673,0.15571342074694838,-0.6262828060694792,-0.024272617975147875,-0.18513290812026714,-0.05565282033716739,-0.008381656322031817,-0.025694945973426545,-0.7917560179078185,1.0763591766107998,1.0,0.0
R2073536,-0.5974686405134979,-0.6202436649359975,-0.6140162961628677,-0.6576829802210812,-0.8076088499514855,-0.5148748644060109,-0.6752184638702958,-0.1270117087732673,-1.1115871990321609,-0.6262828060694792,-0.030377151165101313,-0.552991295619349,0.27438585636617785,0.2959506969600532,-0.6079873345960666,-0.15720476109348847,-0.818122021519067,1.0,0.0
R2072638,-0.5974686405134979,-0.828794337414514,-0.9026437395519744,-0.6576829802210812,-0.8076088499514855,-1.0717091001684398,-0.5202114736481156,-0.1270117087732673,-1.1115871990321609,-0.6262828060694792,-0.06293370224486243,-0.31855084008691,-0.715730173743858,-0.6170463628862017,-0.8973255417764945,-1.4263072747221484,-0.818122021519067,1.0,0.0
R2072602,0.5958160303850923,-0.8524300802954127,-0.9146698830265204,-0.6576829802210812,-0.8076088499514855,-0.7761057404427061,0.33232697257387506,-0.1270117087732673,-0.4779368891426062,-0.6262828060694792,-0.07183689590728716,-0.957124015419904,-0.5507108353921852,-0.4648801862451593,-0.5900279957625385,-0.7917560179078185,-0.818122021519067,1.0,0.0
R2072203,0.4253467916852937,-0.6202436649359975,-0.5538855787901371,-0.6576829802210812,-0.8076088499514855,-0.5492473480950498,-0.9077289492035658,-0.1270117087732673,-1.1115871990321609,-0.6262828060694792,-0.042077566400011486,-0.33065649269985786,0.9344632097728685,0.9046154035242232,-1.054499889688712,-0.15720476109348847,-0.818122021519067,1.0,0.0
R2072284,0.4253467916852937,-0.4140102221516866,-0.5827483231290477,-0.6576829802210812,-0.8076088499514855,-1.0270248713726895,-0.4427079785370256,-0.1270117087732673,-0.4779368891426062,-0.6262828060694792,-0.0390249400800383,0.6782899768370206,-1.7058462038538917,-1.5300434227324549,-0.7049557110495779,-0.15720476109348847,-0.818122021519067,1.0,0.0
R2073019,0.08440831428569649,0.7955836782237099,0.8170947773081201,0.8694335713973095,0.9478831840426758,1.5680976471497419,-0.4427079785370256,-0.1270117087732673,0.789363730636503,1.527117872577498,0.046691051526825914,-0.40917273253454,-0.22067215868884,-0.1605478329630743,-2.348958409169739,-0.7917560179078185,1.0763591766107998,1.0,0.0
R2072914,-0.2565301631139007,2.3481275733415563,2.452650289846392,2.3965501230157003,0.9478831840426758,1.984004699787112,-0.05519050298157526,2.1666108729996862,2.0566643504156117,1.527117872577498,0.1659816159534376,1.3242799956723137,-0.05565282033716739,-0.008381656322031817,1.7094905697813911,-0.4744803895006535,1.0763591766107998,1.0,0.0
R2072565,0.7662852690848909,0.999499891313815,1.4376437805946995,2.3965501230157003,0.9478831840426758,1.571534895518646,0.0223129921295148,2.1666108729996862,-0.4779368891426062,-0.6262828060694792,0.0502523289917958,0.452928760764293,1.9245792398829005,1.8176124633704744,1.5056701538921586,1.1118977525351714,1.0763591766107998,1.0,0.0
R2072507,0.08440831428569649,-0.54864126738504,-0.6200293679001407,-0.6576829802210812,-0.8076088499514855,-0.2948909687961625,0.254823477462785,-0.1270117087732673,-0.4779368891426062,1.527117872577498,-0.051489411207432924,-0.9090424092670694,-0.715730173743858,-0.6170463628862017,-0.12519450441018684,-0.7917560179078185,-0.818122021519067,1.0,0.0
R2072854,-2.4726302662112825,-1.1022274413307915,-1.1167090933988952,-0.6576829802210812,-0.8076088499514855,-0.9479681588879004,0.254823477462785,-0.1270117087732673,-1.1115871990321609,-0.6262828060694792,-0.08125665466463075,-1.2992792038851568,0.4394051947178505,0.4481168736010956,-0.037446862324224936,-0.15720476109348847,-0.818122021519067,1.0,0.0
R2073566,0.7662852690848909,0.3275032799941503,0.3841536122244599,0.8694335713973095,0.9478831840426758,1.341239254802086,0.4098304676849651,-0.1270117087732673,2.0566643504156117,-0.6262828060694792,0.01159052527208834,-0.8256242326348909,0.10936651801450524,0.14378452031901065,0.3931554060165701,0.7946221241280065,1.0763591766107998,1.0,0.0
R2072393,0.7662852690848909,1.2543951576764465,1.370297377137241,0.8694335713973095,0.9478831840426758,1.8843244970888997,0.254823477462785,-0.1270117087732673,2.0566643504156117,1.527117872577498,0.040172834590941627,0.03860853753241875,0.10936651801450524,0.14378452031901065,1.562019086138295,-0.15720476109348847,1.0763591766107998,1.0,0.0
R2072606,0.08440831428569649,-0.7384223793404902,-0.4817287179428604,-0.6576829802210812,-0.8076088499514855,-0.9892151393147468,-0.05519050298157526,-0.1270117087732673,-1.1115871990321609,-0.6262828060694792,-0.045638843864981384,0.9116647939352212,3.5747726233996273,3.3392742297808997,-0.7403922588150624,0.4773464957208415,-0.818122021519067,1.0,0.0
R2072603,-1.108876356612894,-0.27497644049934217,-0.2219640188926643,0.8694335713973095,0.9478831840426758,-0.3189517073784897,-0.830225454092476,-0.1270117087732673,-0.4779368891426062,-0.6262828060694792,-0.01994944296767229,0.10365510755832814,0.4394051947178505,0.4481168736010956,-0.475522144139374,1.7464490093495015,1.0763591766107998,1.0,0.0
R2072127,0.2548775529854951,-0.3653483985733661,-0.3253888527737609,0.8694335713973095,0.9478831840426758,-0.06803257644850619,-0.6752184638702958,2.1666108729996862,-0.4779368891426062,-0.6262828060694792,-0.017086031995837917,-0.5446366902949201,0.4394051947178505,0.4481168736010956,-0.4451479603403874,0.16007086731367653,1.0763591766107998,1.0,0.0
R2072577,-1.108876356612894,-0.5022966735009252,-0.38551957014649146,-0.6576829802210812,-0.8076088499514855,-0.4667533872413566,-0.9077289492035658,-0.1270117087732673,0.15571342074694838,-0.6262828060694792,-0.030885802310098014,-0.03590090178952739,1.2645018864762136,1.2089477568063078,-0.3244949524721896,-1.4263072747221484,-0.818122021519067,1.0,0.0
R2072447,0.08440831428569649,-0.249486913863079,-0.18107513107920747,0.8694335713973095,0.9478831840426758,0.92876945053362,0.4098304676849651,-0.1270117087732673,0.789363730636503,1.527117872577498,-0.011300934602742393,-1.349960967817533,0.6044245330695232,0.6002830502421381,0.3818856195673429,0.4773464957208415,1.0763591766107998,1.0,0.0
